File,Line,Column,Type,Message,Source,Severity,Fixable
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/scripts/pearcmd.php",59,57,error,"Global variable '$HTTP_SERVER_VARS' is deprecated since PHP 5.3 and removed since PHP 5.4; Use $_SERVER instead",PHPCompatibility.Variables.RemovedPredefinedGlobalVariables.http_server_varsDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/DependencyDB.php",554,9,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/DependencyDB.php",558,9,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/DependencyDB.php",581,9,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/DependencyDB.php",583,9,error,"Function set_magic_quotes_runtime() is deprecated since PHP 5.3 and removed since PHP 7.0",PHPCompatibility.FunctionUse.RemovedFunctions.set_magic_quotes_runtimeDeprecatedRemoved,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Remote.php",582,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Pickle.php",95,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Pickle.php",117,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Build.php",68,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Config.php",341,20,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Install.php",331,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Install.php",343,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Install.php",1139,17,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Registry.php",264,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Registry.php",438,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Package.php",313,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Package.php",325,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Package.php",375,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Package.php",1034,15,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command/Package.php",1051,19,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/ChannelFile.php",199,26,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/ChannelFile.php",1504,25,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/ChannelFile.php",1516,29,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/ChannelFile.php",1524,25,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/ChannelFile.php",1527,21,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command.php",137,17,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Command.php",154,17,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/REST/11.php",43,25,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/REST/10.php",42,25,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/Autoloader.php",147,17,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
"/usr/www/users/curvcjtsmt/site/wp-content/plugins/backwpup/sdk/PEAR/PEAR/PackageFile/v1.php",351,26,error,"Assigning the return value of new by reference is deprecated in PHP 5.3 and has been removed in PHP 7.0",PHPCompatibility.Syntax.RemovedNewReference.Removed,5,0
